search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
smilex,2,0,2,1,0,2
ranun,8,8,2,0.25,0,8
flox,1,0,2,1,1,1
smialx,2,0,2,1,0,2
pineapple lily,2,0,2,1,0,2
primrose,2,0,2,1,0,1
amaramthus,2,0,2,1,1,1
tulips double assorted,4,2,2,0.5,4,0
dianthus solomio cas,2,2,2,0.6666666666666666,3,1
pistache,2,0,2,1,0,1
white tulip,2,0,2,1,0,2
carnation kilimanjaro,3,2,2,0.6666666666666666,4,0
garden roses westminster abbey,2,3,2,0.6666666666666666,5,0
senesis,2,1,2,0.6666666666666666,0,3
mushrooms,2,0,2,1,0,1
allium gigantum,3,4,2,0.4,6,0
statice,17,31,2,0.07142857142857142,0,23
lupin,2,0,2,1,0,1
roses mothers day assorted,2,2,2,0.6666666666666666,4,0
rice flower,7,16,2,0.2,0,16
babaloo,2,0,2,1,1,0
"delphinium assorted (seawaltz, skywaltz)",3,1,2,0.6666666666666666,2,1
ruscis,2,0,2,1,0,1
peony angel cheeks,4,5,2,0.3333333333333333,7,0
oasis,2,0,2,1,0,2
"pittosporum assorted (21 variegated, green) 42 st/box",2,0,2,1,2,0
sunflower firewalker (select),2,0,2,1,2,0
cabbage,2,0,2,1,1,1
ranununculus,2,0,2,1,0,2
amneisa,2,0,2,1,0,2
garden roses mayras white (white to yellowish),3,4,2,0.5,6,0
sweet peas assorted,6,5,2,0.2857142857142857,7,0
nigelia,2,0,2,1,0,2
peoniy,2,0,2,1,0,1
fern,16,33,2,0.0625,0,24
hydrangea  bicolor pink peach super select,4,6,2,0.2857142857142857,7,1
amarath,1,0,2,1,0,2
phaleonopsis,2,0,2,1,0,1
echinacea,3,1,2,0.6666666666666666,0,3
herbs california bay laurel,2,1,2,0.6666666666666666,3,0
blue hydrangea,20,38,2,0.05172413793103448,0,29
lisianthus double chocolate brown,2,0,2,1,2,0
phael,2,0,2,1,0,2
hudrangea,2,1,2,0.6666666666666666,0,0
rananculas,2,0,2,1,0,1
hydrnagea,2,0,2,1,0,2
snapdrsgons,1,1,2,0.6666666666666666,0,0
amaranthis,2,0,2,1,0,1
ficus,2,0,2,1,1,1
fiddlehead,2,0,2,1,0,2
anthirrium,3,2,2,0.6666666666666666,0,4
roses moccachino mocha,3,1,2,0.6666666666666666,3,0
tulips,34,59,2,0.0392156862745098,0,22
mykonos,2,0,2,1,0,2
digitalis,2,0,2,1,0,2
lisianthus double brillianthus white,4,3,2,0.4,5,0
lysianthus,2,0,2,1,0,2
hydrangea tinted baby pink select (airbrushed) (tinted/ dyed),4,2,2,0.5,4,0
daisey,2,0,2,1,1,1
marscapone,1,0,2,1,0,2
peonie,2,2,2,0.5,1,1
"garlands gyp babys breath (3 ft long, 6-8 in width)",5,5,2,0.3333333333333333,6,0
"wildflowers ",2,0,2,1,0,0
azalea,2,0,2,1,0,2
roses freedom (platinum cut),8,8,2,0.2222222222222222,10,0
germini,2,1,2,0.6666666666666666,0,3
oralaya,1,0,2,1,0,2
alsto,2,0,2,1,0,1
